"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","24-Jul-2020","        392.25","        388.30","        388.70","        372.15","        382.50","        381.80","        380.82","   52981627","         20176721421.60","     386704","   15454117","         29.17"
"ICICIBANK","EQ","27-Jul-2020","        381.80","        385.00","        385.80","        356.60","        358.70","        358.50","        364.96","   73276759","         26742957273.15","     730212","   18112356","         24.72"
"ICICIBANK","EQ","28-Jul-2020","        358.50","        361.10","        362.75","        343.20","        352.15","        352.10","        350.53","  125940299","         44145352671.95","     703448","   52797343","         41.92"
"ICICIBANK","EQ","29-Jul-2020","        352.10","        353.20","        357.65","        348.20","        351.20","        351.05","        353.98","   50196627","         17768804674.00","     350109","   15775366","         31.43"
"ICICIBANK","EQ","30-Jul-2020","        351.05","        353.40","        354.60","        340.40","        345.40","        344.95","        348.04","   40820799","         14207448526.95","     321975","   12176504","         29.83"
"ICICIBANK","EQ","31-Jul-2020","        344.95","        346.45","        353.00","        342.05","        347.20","        346.80","        347.26","   37345608","         12968752584.85","     274656","    9020782","         24.15"
"ICICIBANK","EQ","03-Aug-2020","        346.80","        346.80","        349.35","        340.50","        343.75","        343.25","        344.30","   32120023","         11058835193.15","     252316","   11210086","         34.90"
"ICICIBANK","EQ","04-Aug-2020","        343.25","        347.00","        353.20","        344.20","        351.40","        351.00","        349.14","   30813885","         10758370764.00","     236605","    7494397","         24.32"
"ICICIBANK","EQ","05-Aug-2020","        351.00","        353.40","        360.00","        350.75","        353.05","        352.20","        355.51","   37058091","         13174683738.25","     270873","    9526613","         25.71"
"ICICIBANK","EQ","06-Aug-2020","        352.20","        353.45","        363.75","        348.60","        359.50","        358.75","        356.51","   48022799","         17120669232.45","     321846","   12060475","         25.11"
"ICICIBANK","EQ","07-Aug-2020","        358.75","        359.45","        359.65","        353.15","        358.10","        357.95","        356.90","   28512323","         10175988903.95","     203850","    9793637","         34.35"
"ICICIBANK","EQ","10-Aug-2020","        357.95","        359.50","        364.95","        357.35","        364.20","        363.55","        361.27","   22857226","          8257731419.05","     208697","    7841890","         34.31"
"ICICIBANK","EQ","11-Aug-2020","        363.55","        370.00","        374.30","        364.05","        366.45","        367.35","        368.66","   45446756","         16754604407.70","     361557","   14728338","         32.41"
"ICICIBANK","EQ","12-Aug-2020","        367.35","        365.75","        368.75","        363.75","        365.70","        366.85","        366.65","   25706440","          9425281045.20","     183488","   10314895","         40.13"
"ICICIBANK","EQ","13-Aug-2020","        366.85","        368.95","        372.35","        366.25","        368.30","        368.05","        369.11","   26257725","          9691912310.95","     173312","   11609723","         44.21"
